日期,单位净值,累计净值,涨跌幅
2023-08-24,0.7938,0.7938,2.16
2023-08-23,0.777,0.777,0.32
2023-08-22,0.7745,0.7745,0.96
2023-08-21,0.7671,0.7671,-1.87
2023-08-18,0.7817,0.7817,-2.25
2023-08-17,0.7997,0.7997,0.33
2023-08-16,0.7971,0.7971,-1.17
2023-08-15,0.8065,0.8065,-0.79
2023-08-14,0.8129,0.8129,-1.54
2023-08-11,0.8256,0.8256,-1.24
2023-08-10,0.836,0.836,0.16
2023-08-09,0.8347,0.8347,0.32
2023-08-08,0.832,0.832,-1.81
2023-08-07,0.8473,0.8473,-0.06
2023-08-04,0.8478,0.8478,0.98
2023-08-03,0.8396,0.8396,-0.18
2023-08-02,0.8411,0.8411,-2.41
2023-08-01,0.8619,0.8619,-0.67
2023-07-31,0.8677,0.8677,1.28
2023-07-28,0.8567,0.8567,1.98
2023-07-27,0.8401,0.8401,1.89
2023-07-26,0.8245,0.8245,-0.9
2023-07-25,0.832,0.832,5.05
2023-07-24,0.792,0.792,-2.17
2023-07-21,0.8096,0.8096,0.67
2023-07-20,0.8042,0.8042,-0.21
2023-07-19,0.8059,0.8059,-0.24
2023-07-18,0.8078,0.8078,-2.13
2023-07-17,0.8254,0.8254,0.06
2023-07-14,0.8249,0.8249,0
2023-07-13,0.8249,0.8249,2.19
2023-07-12,0.8072,0.8072,1.1
2023-07-11,0.7984,0.7984,0.83
2023-07-10,0.7918,0.7918,0.39
2023-07-07,0.7887,0.7887,-1.15
2023-07-06,0.7979,0.7979,-2
2023-07-05,0.8142,0.8142,-1.71
2023-07-04,0.8284,0.8284,0.27
2023-07-03,0.8262,0.8262,2.32
2023-06-30,0.8075,0.8075,0
2023-06-29,0.8075,0.8075,-1.26
2023-06-28,0.8178,0.8178,0.25
2023-06-27,0.8158,0.8158,2
2023-06-26,0.7998,0.7998,-1.66
2023-06-21,0.8133,0.8133,-1.87
2023-06-20,0.8288,0.8288,-1.05
2023-06-19,0.8376,0.8376,-0.97
2023-06-16,0.8458,0.8458,0.73
2023-06-15,0.8397,0.8397,2.73
2023-06-14,0.8174,0.8174,-0.35
2023-06-13,0.8203,0.8203,0.87
2023-06-12,0.8132,0.8132,0.11
2023-06-09,0.8123,0.8123,0.62
2023-06-08,0.8073,0.8073,0.24
2023-06-07,0.8054,0.8054,1.14
2023-06-06,0.7963,0.7963,0.47
