日期,单位净值,累计净值,涨跌幅
2023-08-23,0.7789,0.7789,0.45
2023-08-22,0.7754,0.7754,0.96
2023-08-21,0.768,0.768,-1.66
2023-08-18,0.781,0.781,-2.99
2023-08-17,0.8051,0.8051,0.66
2023-08-16,0.7998,0.7998,-0.98
2023-08-15,0.8077,0.8077,-0.94
2023-08-14,0.8154,0.8154,-1.18
2023-08-11,0.8251,0.8251,-1.37
2023-08-10,0.8366,0.8366,0.36
2023-08-09,0.8336,0.8336,0.64
2023-08-08,0.8283,0.8283,-2.09
2023-08-07,0.846,0.846,-0.4
2023-08-04,0.8494,0.8494,1.16
2023-08-03,0.8397,0.8397,-0.04
2023-08-02,0.84,0.84,-3.02
2023-08-01,0.8662,0.8662,-0.1
2023-07-31,0.8671,0.8671,1.44
2023-07-28,0.8548,0.8548,2.21
2023-07-27,0.8363,0.8363,1.22
2023-07-26,0.8262,0.8262,-0.64
2023-07-25,0.8315,0.8315,5.65
2023-07-24,0.787,0.787,-1.46
2023-07-21,0.7987,0.7987,0.88
2023-07-20,0.7917,0.7917,-0.53
2023-07-19,0.7959,0.7959,-0.26
2023-07-18,0.798,0.798,-3.31
2023-07-17,0.8253,0.8253,0.01
2023-07-14,0.8252,0.8252,-0.4
2023-07-13,0.8285,0.8285,3.6
2023-07-12,0.7997,0.7997,2.05
2023-07-11,0.7836,0.7836,1.49
2023-07-10,0.7721,0.7721,1.14
2023-07-07,0.7634,0.7634,0.41
2023-07-06,0.7603,0.7603,-1.92
2023-07-05,0.7752,0.7752,-1.41
2023-07-04,0.7863,0.7863,0.64
2023-07-03,0.7813,0.7813,2.45
2023-06-30,0.7626,0.7626,-0.81
2023-06-29,0.7688,0.7688,-1.56
2023-06-28,0.781,0.781,-0.71
2023-06-27,0.7866,0.7866,2.49
2023-06-26,0.7675,0.7675,-1.93
2023-06-21,0.7826,0.7826,-2.77
2023-06-20,0.8049,0.8049,-1.81
2023-06-19,0.8197,0.8197,-1.56
2023-06-16,0.8327,0.8327,1.12
2023-06-15,0.8235,0.8235,3.44
2023-06-14,0.7961,0.7961,0.21
2023-06-13,0.7944,0.7944,2.28
2023-06-12,0.7767,0.7767,0.22
2023-06-09,0.775,0.775,0.65
2023-06-08,0.77,0.77,0.14
2023-06-07,0.7689,0.7689,1.61
2023-06-06,0.7567,0.7567,0.2
2023-06-05,0.7552,0.7552,0.15
2023-06-02,0.7541,0.7541,5.45
2023-06-01,0.7151,0.7151,1.45
2023-05-31,0.7049,0.7049,-2.21
2023-05-30,0.7208,0.7208,0.92
2023-05-29,0.7142,0.7142,-1.96
2023-05-26,0.7285,0.7285,1.1
2023-05-25,0.7206,0.7206,-2.57
2023-05-24,0.7396,0.7396,-1.44
2023-05-23,0.7504,0.7504,-0.9
2023-05-22,0.7572,0.7572,1.62
2023-05-19,0.7451,0.7451,-2.42
2023-05-18,0.7636,0.7636,0.53
2023-05-17,0.7596,0.7596,-0.68
2023-05-16,0.7648,0.7648,0.64
2023-05-15,0.7599,0.7599,2.51
2023-05-12,0.7413,0.7413,1.49
2023-05-11,0.7304,0.7304,0.76
2023-05-10,0.7249,0.7249,0.26
2023-05-09,0.723,0.723,-2.82
2023-05-08,0.744,0.744,-0.17
2023-05-05,0.7453,0.7453,1.5
2023-05-04,0.7343,0.7343,-1.88
2023-04-28,0.7484,0.7484,0.29
2023-04-27,0.7462,0.7462,-0.59
2023-04-26,0.7506,0.7506,1.69
2023-04-25,0.7381,0.7381,-2.92
2023-04-24,0.7603,0.7603,-0.91
2023-04-21,0.7673,0.7673,-2.84
2023-04-20,0.7897,0.7897,0.37
2023-04-19,0.7868,0.7868,-2.02
2023-04-18,0.803,0.803,-0.47
2023-04-17,0.8068,0.8068,1.79
2023-04-14,0.7926,0.7926,-0.18
2023-04-13,0.794,0.794,-0.1
2023-04-12,0.7948,0.7948,-3.47
2023-04-11,0.8234,0.8234,-0.17
2023-04-10,0.8248,0.8248,-0.19
2023-04-07,0.8264,0.8264,0.12
2023-04-06,0.8254,0.8254,0.06
2023-04-04,0.8249,0.8249,-1.87
2023-04-03,0.8406,0.8406,-0.6
2023-03-31,0.8457,0.8457,1
2023-03-30,0.8373,0.8373,1.1
2023-03-29,0.8282,0.8282,3.9
2023-03-28,0.7971,0.7971,1.77
2023-03-27,0.7832,0.7832,-2.25
2023-03-24,0.8012,0.8012,-0.66
2023-03-23,0.8065,0.8065,5.29
2023-03-22,0.766,0.766,0.79
2023-03-21,0.76,0.76,1.84
