日期,单位净值,累计净值,涨跌幅
2023-08-24,0.61,0.61,3.41
2023-08-23,0.5899,0.5899,0.2
2023-08-22,0.5887,0.5887,1.76
2023-08-21,0.5785,0.5785,-2.13
2023-08-18,0.5911,0.5911,-3.4
2023-08-17,0.6119,0.6119,0.81
2023-08-16,0.607,0.607,-0.96
2023-08-15,0.6129,0.6129,-0.63
2023-08-14,0.6168,0.6168,-1.26
2023-08-11,0.6247,0.6247,-2.25
2023-08-10,0.6391,0.6391,0
2023-08-09,0.6391,0.6391,-0.06
2023-08-08,0.6395,0.6395,-2.37
2023-08-07,0.655,0.655,-0.09
2023-08-04,0.6556,0.6556,1.77
2023-08-03,0.6442,0.6442,0.47
2023-08-02,0.6412,0.6412,-2.97
2023-08-01,0.6608,0.6608,-0.29
2023-07-31,0.6627,0.6627,1.84
2023-07-28,0.6507,0.6507,2.83
2023-07-27,0.6328,0.6328,2.73
2023-07-26,0.616,0.616,-0.87
2023-07-25,0.6214,0.6214,5.66
2023-07-24,0.5881,0.5881,-2.08
2023-07-21,0.6006,0.6006,0.82
2023-07-20,0.5957,0.5957,-1.23
2023-07-19,0.6031,0.6031,-0.26
2023-07-18,0.6047,0.6047,-2.1
2023-07-17,0.6177,0.6177,0.08
2023-07-14,0.6172,0.6172,-0.36
2023-07-13,0.6194,0.6194,3.35
2023-07-12,0.5993,0.5993,1.68
2023-07-11,0.5894,0.5894,1.31
2023-07-10,0.5818,0.5818,0.81
2023-07-07,0.5771,0.5771,-1.25
2023-07-06,0.5844,0.5844,-1.32
2023-07-05,0.5922,0.5922,-1.45
2023-07-04,0.6009,0.6009,0.4
2023-07-03,0.5985,0.5985,3.26
2023-06-30,0.5796,0.5796,-0.58
2023-06-29,0.583,0.583,-1.5
2023-06-28,0.5919,0.5919,0.63
2023-06-27,0.5882,0.5882,2.49
2023-06-26,0.5739,0.5739,-1.85
2023-06-21,0.5847,0.5847,-2.55
2023-06-20,0.6,0.6,-1.72
2023-06-19,0.6105,0.6105,-1.45
2023-06-16,0.6195,0.6195,0.63
2023-06-15,0.6156,0.6156,3.31
2023-06-14,0.5959,0.5959,0.47
2023-06-13,0.5931,0.5931,2.7
2023-06-12,0.5775,0.5775,0.33
2023-06-09,0.5756,0.5756,0.79
2023-06-08,0.5711,0.5711,-0.54
2023-06-07,0.5742,0.5742,2.33
2023-06-06,0.5611,0.5611,0.02
2023-06-05,0.561,0.561,0.29
2023-06-02,0.5594,0.5594,5.05
2023-06-01,0.5325,0.5325,0.4
2023-05-31,0.5304,0.5304,-2.01
2023-05-30,0.5413,0.5413,1.79
2023-05-29,0.5318,0.5318,-1.39
2023-05-26,0.5393,0.5393,0.22
2023-05-25,0.5381,0.5381,-2.09
2023-05-24,0.5496,0.5496,-1.58
2023-05-23,0.5584,0.5584,-1.13
2023-05-22,0.5648,0.5648,1.71
2023-05-19,0.5553,0.5553,-1.68
2023-05-18,0.5648,0.5648,1.6
2023-05-17,0.5559,0.5559,-1.77
2023-05-16,0.5659,0.5659,0.71
2023-05-15,0.5619,0.5619,1.46
2023-05-12,0.5538,0.5538,0.67
2023-05-11,0.5501,0.5501,1.08
2023-05-10,0.5442,0.5442,0.52
2023-05-09,0.5414,0.5414,-2.64
2023-05-08,0.5561,0.5561,0.45
2023-05-05,0.5536,0.5536,1.02
2023-05-04,0.548,0.548,-1.46
2023-04-28,0.5561,0.5561,0.98
2023-04-27,0.5507,0.5507,-0.36
2023-04-26,0.5527,0.5527,1.69
2023-04-25,0.5435,0.5435,-3.33
2023-04-24,0.5622,0.5622,-0.21
2023-04-21,0.5634,0.5634,-3.21
2023-04-20,0.5821,0.5821,0.41
2023-04-19,0.5797,0.5797,-2.29
2023-04-18,0.5933,0.5933,-0.98
2023-04-17,0.5992,0.5992,1.97
2023-04-14,0.5876,0.5876,0.09
2023-04-13,0.5871,0.5871,-0.39
2023-04-12,0.5894,0.5894,-1.78
2023-04-11,0.6001,0.6001,0.37
2023-04-10,0.5979,0.5979,-0.1
2023-04-07,0.5985,0.5985,0.12
2023-04-06,0.5978,0.5978,0.18
2023-04-04,0.5967,0.5967,-1.58
2023-04-03,0.6063,0.6063,0.08
2023-03-31,0.6058,0.6058,0.58
2023-03-30,0.6023,0.6023,0.58
2023-03-29,0.5988,0.5988,2.41
2023-03-28,0.5847,0.5847,0.88
2023-03-27,0.5796,0.5796,-2.23
2023-03-24,0.5928,0.5928,0.1
2023-03-23,0.5922,0.5922,4.39
2023-03-22,0.5673,0.5673,0.85
2023-03-21,0.5625,0.5625,2.4
2023-03-20,0.5493,0.5493,-3.26
2023-03-17,0.5678,0.5678,3.99
2023-03-16,0.546,0.546,-0.75
2023-03-15,0.5501,0.5501,1.38
2023-03-14,0.5426,0.5426,-2.78
2023-03-13,0.5581,0.5581,2.22
2023-03-10,0.546,0.546,-3.72
2023-03-09,0.5671,0.5671,-1.2
2023-03-08,0.574,0.574,-2.6
2023-03-07,0.5893,0.5893,-0.96
2023-03-06,0.595,0.595,-1
2023-03-03,0.601,0.601,2.37
2023-03-02,0.5871,0.5871,-2.15
2023-03-01,0.6,0.6,6.03
2023-02-28,0.5659,0.5659,-1.6
2023-02-27,0.5751,0.5751,0.31
