日期,单位净值,累计净值,涨跌幅
2023-08-24,1.3934,1.4234,-0.22
2023-08-23,1.3965,1.4265,-0.11
2023-08-22,1.3981,1.4281,0.6
2023-08-21,1.3897,1.4197,-0.98
2023-08-18,1.4034,1.4334,-0.5
2023-08-17,1.4104,1.4404,-0.08
2023-08-16,1.4115,1.4415,-0.11
2023-08-15,1.413,1.443,0.36
2023-08-14,1.408,1.438,-0.37
2023-08-11,1.4132,1.4432,-1.47
2023-08-10,1.4343,1.4643,0.77
2023-08-09,1.4233,1.4533,-0.36
2023-08-08,1.4285,1.4585,0.09
2023-08-07,1.4272,1.4572,-0.8
2023-08-04,1.4387,1.4687,-0.24
2023-08-03,1.4422,1.4722,0.35
2023-08-02,1.4371,1.4671,-1.06
2023-08-01,1.4525,1.4825,-0.14
2023-07-31,1.4545,1.4845,0.42
2023-07-28,1.4484,1.4784,1.34
2023-07-27,1.4293,1.4593,-0.28
2023-07-26,1.4333,1.4633,0.08
2023-07-25,1.4322,1.4622,1.48
2023-07-24,1.4113,1.4413,0.32
2023-07-21,1.4068,1.4368,-0.04
2023-07-20,1.4074,1.4374,-0.47
2023-07-19,1.4141,1.4441,0.52
2023-07-18,1.4068,1.4368,0.01
2023-07-17,1.4067,1.4367,-0.46
2023-07-14,1.4132,1.4432,0.45
2023-07-13,1.4068,1.4368,1.08
2023-07-12,1.3918,1.4218,-0.7
2023-07-11,1.4016,1.4316,0.19
2023-07-10,1.399,1.429,0.53
2023-07-07,1.3916,1.4216,0.27
2023-07-06,1.3878,1.4178,-0.32
2023-07-05,1.3922,1.4222,-0.24
2023-07-04,1.3955,1.4255,-0.42
2023-07-03,1.4014,1.4314,0.86
2023-06-30,1.3895,1.4195,0.73
2023-06-29,1.3794,1.4094,-0.13
2023-06-28,1.3812,1.4112,0.52
2023-06-27,1.374,1.404,1.68
2023-06-26,1.3513,1.3813,-1.59
2023-06-21,1.3732,1.4032,-0.85
2023-06-20,1.385,1.415,-0.8
2023-06-19,1.3961,1.4261,-0.85
2023-06-16,1.408,1.438,0
2023-06-15,1.408,1.438,0.23
2023-06-14,1.4047,1.4347,-0.29
2023-06-13,1.4088,1.4388,-0.35
2023-06-12,1.4137,1.4437,-0.28
2023-06-09,1.4177,1.4477,0.08
2023-06-08,1.4166,1.4466,0.61
2023-06-07,1.408,1.438,0.59
2023-06-06,1.3998,1.4298,-1.04
2023-06-05,1.4145,1.4445,0.6
2023-06-02,1.406,1.436,0.72
2023-06-01,1.3959,1.4259,-0.01
2023-05-31,1.396,1.426,-0.73
2023-05-30,1.4062,1.4362,0.21
2023-05-29,1.4033,1.4333,0.52
2023-05-26,1.396,1.426,0.57
2023-05-25,1.3881,1.4181,-0.42
2023-05-24,1.3939,1.4239,-1.13
2023-05-23,1.4099,1.4399,-0.97
2023-05-22,1.4237,1.4537,-0.25
2023-05-19,1.4273,1.4573,-1.02
2023-05-18,1.442,1.472,0.61
2023-05-17,1.4333,1.4633,-0.2
2023-05-16,1.4362,1.4662,-0.56
2023-05-15,1.4443,1.4743,0.15
2023-05-12,1.4421,1.4721,-0.88
2023-05-11,1.4549,1.4849,-0.48
2023-05-10,1.4619,1.4919,-1.48
2023-05-09,1.4838,1.5138,-0.07
2023-05-08,1.4848,1.5148,1.99
2023-05-05,1.4559,1.4859,0.03
2023-05-04,1.4554,1.4854,1.58
2023-04-28,1.4328,1.4628,0.98
2023-04-27,1.4189,1.4489,-0.3
2023-04-26,1.4232,1.4532,0.46
2023-04-25,1.4167,1.4467,0.16
2023-04-24,1.4144,1.4444,-0.23
2023-04-21,1.4177,1.4477,-1.25
2023-04-20,1.4356,1.4656,0.26
2023-04-19,1.4319,1.4619,-0.21
2023-04-18,1.4349,1.4649,0.55
2023-04-17,1.427,1.457,1.22
2023-04-14,1.4098,1.4398,-0.17
2023-04-13,1.4122,1.4422,0.1
2023-04-12,1.4108,1.4408,0.84
2023-04-11,1.3991,1.4291,0.59
2023-04-10,1.3909,1.4209,-0.32
2023-04-07,1.3954,1.4254,0.17
2023-04-06,1.393,1.423,-0.51
2023-04-04,1.4002,1.4302,0.19
2023-04-03,1.3976,1.4276,0.66
2023-03-31,1.3885,1.4185,0.09
2023-03-30,1.3872,1.4172,0.82
2023-03-29,1.3759,1.4059,-0.57
2023-03-28,1.3838,1.4138,-0.14
2023-03-27,1.3858,1.4158,-0.49
2023-03-24,1.3926,1.4226,-0.54
2023-03-23,1.4002,1.4302,0.34
2023-03-22,1.3955,1.4255,0.86
2023-03-21,1.3836,1.4136,0.18
2023-03-20,1.3811,1.4111,-0.25
2023-03-17,1.3846,1.4146,0.92
2023-03-16,1.372,1.402,-1.05
2023-03-15,1.3866,1.4166,1.34
2023-03-14,1.3683,1.3983,-0.93
2023-03-13,1.3812,1.4112,0.69
2023-03-10,1.3718,1.4018,-1.66
2023-03-09,1.3949,1.4249,-0.14
2023-03-08,1.3968,1.4268,-0.02
2023-03-07,1.3971,1.4271,-0.59
2023-03-06,1.4054,1.4354,-0.67
2023-03-03,1.4149,1.4449,0.52
2023-03-02,1.4076,1.4376,0.35
2023-03-01,1.4027,1.4327,0.6
2023-02-28,1.3943,1.4243,0.29
2023-02-27,1.3903,1.4203,-0.24
2023-02-24,1.3936,1.4236,-0.44
2023-02-23,1.3997,1.4297,0.14
2023-02-22,1.3978,1.4278,0.22
2023-02-21,1.3948,1.4248,1.07
2023-02-20,1.38,1.41,2.03
2023-02-17,1.3526,1.3826,0.24
2023-02-16,1.3493,1.3793,-1.09
2023-02-15,1.3642,1.3942,-0.34
2023-02-14,1.3689,1.3989,0.44
2023-02-13,1.3629,1.3929,0.48
2023-02-10,1.3564,1.3864,0.07
2023-02-09,1.3554,1.3854,0.84
2023-02-08,1.3441,1.3741,-0.43
2023-02-07,1.3499,1.3799,0.56
2023-02-06,1.3424,1.3724,-0.48
2023-02-03,1.3489,1.3789,-0.82
2023-02-02,1.3601,1.3901,0.17
2023-02-01,1.3578,1.3878,0.62
2023-01-31,1.3494,1.3794,0.3
2023-01-30,1.3453,1.3753,-0.03
2023-01-20,1.3457,1.3757,0.96
2023-01-19,1.3329,1.3629,0.49
2023-01-18,1.3264,1.3564,0.19
2023-01-17,1.3239,1.3539,-0.29
2023-01-16,1.3277,1.3577,0.48
2023-01-13,1.3214,1.3514,0.81
2023-01-12,1.3108,1.3408,-0.23
2023-01-11,1.3138,1.3438,0.38
2023-01-10,1.3088,1.3388,-0.63
2023-01-09,1.3171,1.3471,0.09
2023-01-06,1.3159,1.3459,-0.07
2023-01-05,1.3168,1.3468,0.1
2023-01-04,1.3155,1.3455,0.83
2023-01-03,1.3047,1.3347,0.56
2022-12-31,1.2974,1.3274,--
2022-12-30,1.2974,1.3274,0.65
2022-12-29,1.289,1.319,-1.03
2022-12-28,1.3024,1.3324,-0.21
2022-12-27,1.3052,1.3352,0.97
2022-12-26,1.2927,1.3227,-0.08
2022-12-23,1.2937,1.3237,-0.36
2022-12-22,1.2984,1.3284,-0.76
2022-12-21,1.3083,1.3383,-0.13
2022-12-20,1.31,1.34,-0.75
2022-12-19,1.3199,1.3499,-1.95
2022-12-16,1.3462,1.3762,0.89
2022-12-15,1.3343,1.3643,-0.88
2022-12-14,1.3461,1.3761,-0.44
2022-12-13,1.352,1.382,0.48
2022-12-12,1.3456,1.3756,-1.46
2022-12-09,1.3656,1.3956,0.34
2022-12-08,1.361,1.391,0.27
2022-12-07,1.3573,1.3873,-0.21
2022-12-06,1.3601,1.3901,-0.06
2022-12-05,1.3609,1.3909,1.76
2022-12-02,1.3373,1.3673,-0.45
2022-12-01,1.3434,1.3734,-0.13
2022-11-30,1.3452,1.3752,-0.25
2022-11-29,1.3486,1.3786,2.64
2022-11-28,1.3139,1.3439,-0.71
2022-11-25,1.3233,1.3533,1.18
2022-11-24,1.3079,1.3379,0.37
2022-11-23,1.3031,1.3331,0.18
2022-11-22,1.3007,1.3307,0.38
2022-11-21,1.2958,1.3258,-0.09
2022-11-18,1.297,1.327,-0.43
2022-11-17,1.3026,1.3326,-0.16
2022-11-16,1.3047,1.3347,-0.33
2022-11-15,1.309,1.339,0.89
2022-11-14,1.2974,1.3274,0.31
2022-11-11,1.2934,1.3234,1.74
2022-11-10,1.2713,1.3013,-0.04
2022-11-09,1.2718,1.3018,-0.09
2022-11-08,1.273,1.303,0.07
2022-11-07,1.2721,1.3021,0.71
2022-11-04,1.2631,1.2931,1.72
2022-11-03,1.2418,1.2718,-0.69
2022-11-02,1.2504,1.2804,0.9
2022-11-01,1.2393,1.2693,1.51
2022-10-31,1.2209,1.2509,-1.5
2022-10-28,1.2395,1.2695,-2.52
2022-10-27,1.2716,1.3016,0.52
2022-10-26,1.265,1.295,0.01
2022-10-25,1.2649,1.2949,-0.71
2022-10-24,1.274,1.304,-1.92
2022-10-21,1.299,1.329,-0.06
2022-10-20,1.2998,1.3298,-0.76
2022-10-19,1.3098,1.3398,-0.7
2022-10-18,1.319,1.349,-0.17
2022-10-17,1.3212,1.3512,0.18
2022-10-14,1.3188,1.3488,1.13
2022-10-13,1.3041,1.3341,-0.92
2022-10-12,1.3162,1.3462,1.32
2022-10-11,1.2991,1.3291,-0.04
2022-10-10,1.2996,1.3296,-0.25
2022-09-30,1.3028,1.3328,0.53
2022-09-29,1.2959,1.3259,-0.56
2022-09-28,1.3032,1.3332,-1.05
2022-09-27,1.317,1.347,1.25
2022-09-26,1.3008,1.3308,-2.24
2022-09-23,1.3306,1.3606,-0.61
2022-09-22,1.3387,1.3687,-0.07
2022-09-21,1.3397,1.3697,0.7
2022-09-20,1.3304,1.3604,0.19
2022-09-19,1.3279,1.3579,-0.14
2022-09-16,1.3297,1.3597,-2.69
2022-09-15,1.3665,1.3965,-0.06
2022-09-14,1.3673,1.3973,-0.77
2022-09-13,1.3779,1.4079,-0.53
2022-09-09,1.3852,1.4152,1.05
2022-09-08,1.3708,1.4008,-0.33
2022-09-07,1.3753,1.4053,-0.16
2022-09-06,1.3775,1.4075,1.18
2022-09-05,1.3615,1.3915,1.11
2022-09-02,1.3466,1.3766,-0.09
2022-09-01,1.3478,1.3778,0.48
2022-08-31,1.3413,1.3713,-1.11
2022-08-30,1.3564,1.3864,-0.46
2022-08-29,1.3627,1.3927,0.5
2022-08-26,1.3559,1.3859,-0.23
2022-08-25,1.359,1.389,1.56
2022-08-24,1.3381,1.3681,-1.15
2022-08-23,1.3537,1.3837,0.39
2022-08-22,1.3485,1.3785,0.82
2022-08-19,1.3375,1.3675,0.28
2022-08-18,1.3337,1.3637,-0.72
2022-08-17,1.3434,1.3734,0.22
2022-08-16,1.3404,1.3704,0.21
2022-08-15,1.3376,1.3676,0.17
2022-08-12,1.3353,1.3653,0.64
2022-08-11,1.3268,1.3568,1.41
2022-08-10,1.3084,1.3384,-0.15
2022-08-09,1.3103,1.3403,0.18
2022-08-08,1.3079,1.3379,0.85
2022-08-05,1.2969,1.3269,0.91
2022-08-04,1.2852,1.3152,0.63
2022-08-03,1.2771,1.3071,-1.07
2022-08-02,1.2909,1.3209,-2.76
2022-08-01,1.3275,1.3575,0.1
2022-07-29,1.3262,1.3562,-0.81
2022-07-28,1.337,1.367,0.03
2022-07-27,1.3366,1.3666,-0.19
2022-07-26,1.3391,1.3691,1.43
2022-07-25,1.3202,1.3502,0.06
2022-07-22,1.3194,1.3494,-0.12
2022-07-21,1.321,1.351,-1.36
2022-07-20,1.3392,1.3692,0.29
2022-07-19,1.3353,1.3653,0.33
2022-07-18,1.3309,1.3609,2.06
2022-07-15,1.304,1.334,-2.02
2022-07-14,1.3309,1.3609,-1.13
2022-07-13,1.3461,1.3761,0.14
2022-07-12,1.3442,1.3742,0.81
2022-07-11,1.3334,1.3634,-0.32
2022-07-08,1.3377,1.3677,-0.05
2022-07-07,1.3384,1.3684,0.35
2022-07-06,1.3337,1.3637,-2.06
2022-07-05,1.3617,1.3917,0.07
2022-07-04,1.3608,1.3908,0.15
2022-07-01,1.3588,1.3888,0.28
2022-06-30,1.355,1.385,0.64
2022-06-29,1.3464,1.3764,0.34
2022-06-28,1.3419,1.3719,0.6
2022-06-27,1.3339,1.3639,0.69
2022-06-24,1.3247,1.3547,-0.06
2022-06-23,1.3255,1.3555,1.13
2022-06-22,1.3107,1.3407,-1.51
2022-06-21,1.3308,1.3608,0.32
2022-06-20,1.3266,1.3566,-0.04
2022-06-17,1.3271,1.3571,-0.19
2022-06-16,1.3296,1.3596,-1.14
2022-06-15,1.3449,1.3749,0.55
2022-06-14,1.3375,1.3675,1.23
2022-06-13,1.3212,1.3512,-1.45
2022-06-10,1.3406,1.3706,0.86
2022-06-09,1.3292,1.3592,-0.1
2022-06-08,1.3305,1.3605,0.48
2022-06-07,1.3242,1.3542,0.49
2022-06-06,1.3178,1.3478,0.14
2022-06-02,1.3159,1.3459,-0.72
2022-06-01,1.3254,1.3554,0.21
2022-05-31,1.3226,1.3526,0.12
2022-05-30,1.321,1.351,-0.14
2022-05-27,1.3228,1.3528,0.09
2022-05-26,1.3216,1.3516,1.21
2022-05-25,1.3058,1.3358,1.41
2022-05-24,1.2876,1.3176,-2.62
2022-05-23,1.3222,1.3522,-0.33
2022-05-20,1.3266,1.3566,0.72
2022-05-19,1.3171,1.3471,0.62
2022-05-18,1.309,1.339,-0.55
2022-05-17,1.3162,1.3462,-0.6
2022-05-16,1.3241,1.3541,0.71
2022-05-13,1.3148,1.3448,1.87
2022-05-12,1.2907,1.3207,-0.08
2022-05-11,1.2917,1.3217,-0.37
2022-05-10,1.2965,1.3265,0.68
2022-05-09,1.2878,1.3178,0.99
2022-05-06,1.2752,1.3052,-2.78
2022-05-05,1.3117,1.3417,0.27
2022-04-29,1.3082,1.3382,2.04
2022-04-28,1.2821,1.3121,1.46
2022-04-27,1.2637,1.2937,0.92
2022-04-26,1.2522,1.2822,-1.03
2022-04-25,1.2652,1.2952,-4.62
2022-04-22,1.3265,1.3565,1.41
2022-04-21,1.308,1.338,-2.29
2022-04-20,1.3386,1.3686,-2.68
2022-04-19,1.3754,1.4054,0.48
2022-04-18,1.3688,1.3988,-1.37
2022-04-15,1.3878,1.4178,-0.48
2022-04-14,1.3945,1.4245,1.91
2022-04-13,1.3683,1.3983,-0.76
2022-04-12,1.3788,1.4088,-0.03
2022-04-11,1.3792,1.4092,-2.14
2022-04-08,1.4094,1.4394,1.14
2022-04-07,1.3935,1.4235,-1.93
2022-04-06,1.4209,1.4509,1.54
2022-04-01,1.3994,1.4294,1.3
2022-03-31,1.3815,1.4115,1.48
2022-03-30,1.3613,1.3913,2.04
2022-03-29,1.3341,1.3641,-0.73
2022-03-28,1.3439,1.3739,1.5
2022-03-25,1.324,1.354,0.14
2022-03-24,1.3222,1.3522,-0.38
2022-03-23,1.3272,1.3572,0.35
2022-03-22,1.3226,1.3526,1.97
2022-03-21,1.297,1.327,0.11
2022-03-18,1.2956,1.3256,2.82
2022-03-17,1.2601,1.2901,1.47
2022-03-16,1.2418,1.2718,2.32
2022-03-15,1.2136,1.2436,-5.65
2022-03-14,1.2863,1.3163,-1.96
2022-03-11,1.312,1.342,0.56
2022-03-10,1.3047,1.3347,1.13
2022-03-09,1.2901,1.3201,-1.56
