日期,单位净值,累计净值,涨跌幅
2023-08-24,1.3689,1.3689,-0.05
2023-08-23,1.3696,1.3696,-1.28
2023-08-22,1.3874,1.3874,0.38
2023-08-21,1.3822,1.3822,-0.9
2023-08-18,1.3948,1.3948,-1.22
2023-08-17,1.412,1.412,0.55
2023-08-16,1.4043,1.4043,-0.54
2023-08-15,1.4119,1.4119,-0.28
2023-08-14,1.4158,1.4158,-0.03
2023-08-11,1.4162,1.4162,-1.82
2023-08-10,1.4425,1.4425,0.22
2023-08-09,1.4394,1.4394,-0.58
2023-08-08,1.4478,1.4478,-0.33
2023-08-07,1.4526,1.4526,-0.66
2023-08-04,1.4622,1.4622,0.28
2023-08-03,1.4581,1.4581,0.33
2023-08-02,1.4533,1.4533,-0.38
2023-08-01,1.4589,1.4589,0.27
2023-07-31,1.4549,1.4549,0.79
2023-07-28,1.4435,1.4435,1.39
2023-07-27,1.4237,1.4237,-0.3
2023-07-26,1.428,1.428,-0.04
2023-07-25,1.4285,1.4285,1.13
2023-07-24,1.4125,1.4125,0.16
2023-07-21,1.4102,1.4102,0.17
2023-07-20,1.4078,1.4078,-0.89
2023-07-19,1.4205,1.4205,0.21
2023-07-18,1.4175,1.4175,0.2
2023-07-17,1.4147,1.4147,-0.15
2023-07-14,1.4168,1.4168,-0.04
2023-07-13,1.4173,1.4173,1.12
2023-07-12,1.4016,1.4016,-0.81
2023-07-11,1.4131,1.4131,0.55
2023-07-10,1.4054,1.4054,0.37
2023-07-07,1.4002,1.4002,-0.06
2023-07-06,1.4011,1.4011,-0.32
2023-07-05,1.4056,1.4056,-0.28
2023-07-04,1.4096,1.4096,0.15
2023-07-03,1.4075,1.4075,0.57
2023-06-30,1.3995,1.3995,0.77
2023-06-29,1.3888,1.3888,0.26
2023-06-28,1.3852,1.3852,-0.04
2023-06-27,1.3858,1.3858,1.27
2023-06-26,1.3684,1.3684,-1.4
2023-06-21,1.3878,1.3878,-1.2
2023-06-20,1.4047,1.4047,-0.36
2023-06-19,1.4098,1.4098,-0.42
2023-06-16,1.4158,1.4158,0.35
2023-06-15,1.4108,1.4108,0.48
2023-06-14,1.4041,1.4041,-0.23
2023-06-13,1.4074,1.4074,0.11
2023-06-12,1.4059,1.4059,0.03
2023-06-09,1.4055,1.4055,0.36
2023-06-08,1.4005,1.4005,-0.04
2023-06-07,1.401,1.401,0.54
2023-06-06,1.3935,1.3935,-1.59
2023-06-05,1.416,1.416,0.32
2023-06-02,1.4115,1.4115,0.23
2023-06-01,1.4083,1.4083,0.01
2023-05-31,1.4082,1.4082,0.06
2023-05-30,1.4074,1.4074,0.77
2023-05-29,1.3967,1.3967,0.45
2023-05-26,1.3905,1.3905,1.09
2023-05-25,1.3755,1.3755,-0.35
2023-05-24,1.3804,1.3804,-0.76
2023-05-23,1.391,1.391,-1.21
2023-05-22,1.408,1.408,-0.07
2023-05-19,1.409,1.409,-0.33
2023-05-18,1.4136,1.4136,0.28
2023-05-17,1.4097,1.4097,0.22
2023-05-16,1.4066,1.4066,-0.73
2023-05-15,1.417,1.417,0.72
2023-05-12,1.4069,1.4069,-0.85
2023-05-11,1.4189,1.4189,-0.31
2023-05-10,1.4233,1.4233,-0.43
2023-05-09,1.4295,1.4295,-0.58
2023-05-08,1.4378,1.4378,1.17
2023-05-05,1.4212,1.4212,-0.62
2023-05-04,1.43,1.43,0.94
2023-04-28,1.4167,1.4167,1.36
2023-04-27,1.3977,1.3977,0.46
2023-04-26,1.3913,1.3913,-0.75
2023-04-25,1.4018,1.4018,-0.67
2023-04-24,1.4113,1.4113,-0.56
2023-04-21,1.4192,1.4192,-2.13
2023-04-20,1.4501,1.4501,0.21
2023-04-19,1.4471,1.4471,-0.06
2023-04-18,1.4479,1.4479,-0.24
2023-04-17,1.4514,1.4514,0.5
2023-04-14,1.4442,1.4442,0.29
2023-04-13,1.44,1.44,-0.44
2023-04-12,1.4464,1.4464,0.74
2023-04-11,1.4358,1.4358,0.33
2023-04-10,1.4311,1.4311,-0.58
2023-04-07,1.4394,1.4394,0.24
2023-04-06,1.4359,1.4359,0.24
2023-04-04,1.4325,1.4325,0.51
2023-04-03,1.4252,1.4252,0.88
2023-03-31,1.4128,1.4128,1.01
2023-03-30,1.3987,1.3987,-0.12
2023-03-29,1.4004,1.4004,-0.45
2023-03-28,1.4068,1.4068,-0.11
2023-03-27,1.4083,1.4083,0.13
2023-03-24,1.4065,1.4065,-0.16
2023-03-23,1.4088,1.4088,0.6
2023-03-22,1.4004,1.4004,0.55
2023-03-21,1.3928,1.3928,0.73
2023-03-20,1.3827,1.3827,-0.34
2023-03-17,1.3874,1.3874,1
2023-03-16,1.3736,1.3736,-0.87
2023-03-15,1.3856,1.3856,1.04
2023-03-14,1.3714,1.3714,-0.67
2023-03-13,1.3806,1.3806,0.81
2023-03-10,1.3695,1.3695,-1.05
2023-03-09,1.384,1.384,-0.18
2023-03-08,1.3865,1.3865,0.3
2023-03-07,1.3823,1.3823,-1.58
2023-03-06,1.4045,1.4045,0.13
2023-03-03,1.4027,1.4027,0.36
2023-03-02,1.3977,1.3977,0.01
2023-03-01,1.3976,1.3976,0.75
2023-02-28,1.3872,1.3872,0.79
2023-02-27,1.3763,1.3763,-0.54
2023-02-24,1.3838,1.3838,-0.09
2023-02-23,1.385,1.385,-0.24
2023-02-22,1.3884,1.3884,-0.01
2023-02-21,1.3885,1.3885,0.73
2023-02-20,1.3785,1.3785,1.68
2023-02-17,1.3557,1.3557,-0.5
2023-02-16,1.3625,1.3625,-1.35
2023-02-15,1.3811,1.3811,0.05
2023-02-14,1.3804,1.3804,0.58
2023-02-13,1.3725,1.3725,0.76
2023-02-10,1.3622,1.3622,0.07
2023-02-09,1.3613,1.3613,1.31
2023-02-08,1.3437,1.3437,-0.69
2023-02-07,1.353,1.353,0.24
2023-02-06,1.3498,1.3498,-0.44
2023-02-03,1.3557,1.3557,-0.32
2023-02-02,1.36,1.36,0.12
2023-02-01,1.3584,1.3584,1.1
2023-01-31,1.3436,1.3436,0.08
2023-01-30,1.3425,1.3425,0.34
2023-01-20,1.338,1.338,0.47
2023-01-19,1.3317,1.3317,0.86
2023-01-18,1.3203,1.3203,0.34
2023-01-17,1.3158,1.3158,0.09
2023-01-16,1.3146,1.3146,1.05
